"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2014)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (signed, use ADJINC to adjust to constant dollars)","California"
"","Total","27,839,391"
" -> 00 to 17","","1,382,565"
" -> 00 to 17 -> Male","","717,061"
" -> 00 to 17 -> Male -> High school or equivalent","","19,737"
" -> 00 to 17 -> Male -> High school or equivalent -> Hispanic","","10,079"
" -> 00 to 17 -> Male -> High school or equivalent -> Hispanic -> White","","6,103"
"","$5,000 to $9,999","60"
"","$10,000 to $14,999","293"
"","$15,000 to $24,999","88"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","161"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","5,501"
" -> 00 to 17 -> Male -> High school or equivalent -> Hispanic -> African American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> High school or equivalent -> Hispanic -> Asian","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> High school or equivalent -> Hispanic -> Other","","3,976"
"","$5,000 to $9,999","326"
"","$10,000 to $14,999","165"
"","$15,000 to $24,999","59"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,426"
" -> 00 to 17 -> Male -> High school or equivalent -> Not Hispanic","","9,658"
" -> 00 to 17 -> Male -> High school or equivalent -> Not Hispanic -> White","","3,995"
"","$5,000 to $9,999","370"
"","$10,000 to $14,999","21"
"","$15,000 to $24,999","148"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,456"
" -> 00 to 17 -> Male -> High school or equivalent -> Not Hispanic -> African American","","877"
"","$5,000 to $9,999","53"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","824"
" -> 00 to 17 -> Male -> High school or equivalent -> Not Hispanic -> Asian","","3,455"
"","$5,000 to $9,999","737"
"","$10,000 to $14,999","46"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","2,672"
" -> 00 to 17 -> Male -> High school or equivalent -> Not Hispanic -> Other","","1,331"
"","$5,000 to $9,999","52"
"","$10,000 to $14,999","104"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,175"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree","","4,398"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Hispanic","","1,842"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Hispanic -> White","","1,562"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","200"
"","$15,000 to $24,999","75"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,287"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Hispanic -> African American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Hispanic -> Asian","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Hispanic -> Other","","280"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","280"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Not Hispanic","","2,556"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Not Hispanic -> White","","1,158"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","219"
